position,requirements,description,benefits
Wordpress Web Developer,"php, wordpress, wp plugins, html, css, java script, mysql, linux, git a bachelors degree in computer science, engineering, information technology or equivalent experience 2 years professional software development experience N/A",design develop and test high quality software features by understanding user needs and implementing well designed code follow and implement the code with standards and best practices,Không
UI Web Designer,"Proficient in Adobe Creative Suite. Ability to prototype designs in interactive formats like Figma, Adobe XD, or Sketch. Understanding of responsive web design and mobile-first principles. Visual design skills including color, layout, typography, and composition. N/A 2 years experience as a UX/UI designer including design, development, implementation, and production deployment. Portfolio of webpage design examples.",Take a key role in the design and layout of our consumer facing webpages. Creating wireframes for initial review by the greater marketing team. Create high-fidelity comps for the visual layout and design of web pages.,Không
CEO,"At least 10 years of senior management experience, prior successful P&L management and/or president or GM experience N/A At least 10 years of senior management experience Prior successful P&L management and/or president or GM experience, entrepreneurial thinker, proven ability to increase profitability through business development","Manage full P&L, develop growth strategy, provide operational management as CEO of acquired companies",Không
CEO Coach,"Strong financial acumen, management skills, and entrepreneurial spirit. Proven experience as a successful business leader and mentor. N/A N/A Experience as a CEO or executive in a variety of industries. Commitment to continual learning and staying up-to-date on leading-edge tools and knowledge.",Lead monthly roundtable discussions and one-on-one coaching sessions with group members. Guide members in making impactful business decisions and connecting them with relevant resources and experts.,Không
Assistant Vice President Premier Relationship Manager,"Experience in a similar client-facing, relationship management role at a bank or financial institution; State insurance license, SI Series 6 securities license, Series 7 securities license N/A N/A N/A","Engaging with clients and prospects in person, on the phone or by email to develop relationships, perform business development, and assist them with financial needs through products and services offered","Competitive pay and benefits including options to improve health, finances, and lifestyle."
Digital Marketing Specialist,"2+ years of direct digital marketing experience, willingness to take on a wide range of responsibilities, 2 years of email campaign management experience, experience with WordPress, Canva, Elementor and email marketing programs N/A 2+ years of experience N/A","create a series of email newsletters, manage social media channels, coordinate work and collaborate with outside marketing and ad teams, design landing pages and site marketing content","Hybrid work schedule, Up to three days per week in the office, Primarily work from home, Columbus OH"
"Performance Marketing Specialist, Paid Media","2+ years relevant experience in paid media/digital marketing for a business or agency, retail experience preferred. Proven ability to analyze, organize and integrate large amounts information into clear, concise presentations and plans. Demonstrated success in delivering efficient traffic and revenue with ROI. Experience working with web analytic tools like Adobe Analytics, Facebook Ads Manager, etc. Intermediate Excel skills for reporting. College degree required in relevant field of study 2+ years Retail experience preferred","Provide support and execution of integrated media campaigns to drive traffic and sales to express.com. Assist with developing optimal media campaigns for lower funnel display and paid social programs. Help manage creative brief/traffic process, develop reporting, and communicate performance.",Không
Software Engineer,"Proficiency in JS, TS, C and other leading-edge technologies and languages. Academic excellence or professional success in computer science, software engineering, or related fields. BSBA or greater in computer science, mathematics, software engineering, computer engineering, or a related field. N/A N/A","Write software for healthcare systems using modern development methodologies, user-centered design, analytics, and machine learning. Invent better ways to reduce medical errors, streamline record sharing, and improve patient care quality.","Comprehensive benefits including merit-based compensation with annual raises and bonuses, stock grants, 4-week paid sabbatical after 5 years, and relocation reimbursement."
Entry Level Software Engineer,College degree (associates or bachelors). Authorized to work in the US. Desire to learn to code. Problem solving skills. Team player. Adaptable. Communication and interpersonal skills. College degree (associates or bachelors). No prior professional experience required. N/A,Training program to become an entry level software engineer. Work on real world projects in a team environment. No prior professional experience required.,Competitive salary. Relocation & housing assistance. Paid time off. Industry certifications. Mentoring program. Experience with large US companies. Career acceleration opportunities.
Software Engineer,"Proficiency in HTML, CSS, JavaScript, ASP.NET, SQL. Experience with front-end and back-end programming languages like JavaScript, Ruby, Java, Go, Swift. Database skills including NoSQL and Node.js. Understanding of HTTP protocols, SSL, web architecture. Experience with Git version control. N/A N/A Strong communication skills. Ability to work in teams. Business mindset and desire to continuously improve.",Develop and maintain client-side and server-side applications. Work with other developers and teams to ensure applications have the right features and functionality. Write tests to ensure software remains functional.,Không
Senior Software Engineer,"5+ years of PHP development experience with modern PHP practices, frameworks and deployment. Proficient with Git, Linux, SSH, the command line and agile methodologies. BS degree in computer science, engineering or related subject. BS degree in computer science, engineering or related subject 5+ years Experience with dynamic DNS, VueJS, Laravel, responsive frontend frameworks like Bootstrap/Foundation, scaling technologies like containerization/microservices, nonSQL databases like columnar stores/graph databases. MS degree in computer science, engineering or related subject.","Develop and deploy new features, procedures and tools. Troubleshoot, test and maintain the core product software and databases. Provide technical leadership to the team.",Không
Warehouse Manager,"High school education or equivalent, minimum five years experience performing warehousing or logistical related activities in a CGMP pharmaceutical manufacturing environment, must have formal leadership experience including direct management of employee related activities, thorough knowledge of hazardous material and transportation regulations and applicable regulatory requirements (FDA, IATA, DOT, Customs and OSHA), in-depth understanding of warehousing operations, logistics, inventory management and inventory control principals, working knowledge of quality system processes (CAPA, change controls), hands-on experience with SAP or similar ERP, demonstrated ability to influence and successfully coach team members, experience developing procedures and other controlled documents, must be highly organized and process oriented, ability to operate warehouse equipment such as forklifts and pallet jacks if needed, strong interpersonal communication and time management skills, thorough understanding of software technologies used in typical warehousing or logistical operation including Microsoft Office applications High school education or equivalent, additional coursework in logistics, business administration or supply chain principals preferred Minimum five years experience performing warehousing or logistical related activities in a CGMP pharmaceutical manufacturing environment N/A","The warehouse manager is responsible for the coordination of all warehousing activities as well as directly managing the flow of inventory into and out of the warehouse. They will provide direct leadership to all warehouse team members and must effectively collaborate with manufacturing, quality, planning and finance in order to meet business objectives.",Không
Warehouse Manager,Ability to lead and motivate a team. Knowledge of warehouse operations and processes. N/A N/A Experience leading teams in a warehouse environment. Knowledge of safety procedures.,Lead and direct the daily activities of warehouse teammates to ensure the safe and successful completion of all related daily warehouse activities and operations. Verify and ensure all applicable warehouse processes are followed.,Không
Warehouse Supervisor,"2+ years of supervisory experience in a warehouse/distribution environment, strong interpersonal and team management skills, mathematical and computer skills, ability to meet deadlines in a fast-paced environment N/A 2+ years of previous supervisory experience required, preferably in a warehouse or distribution center environment N/A","Responsible for directing and overseeing warehouse operations, supervising warehouse personnel, managing daily freight schedules, ensuring proper inventory control and storage procedures, coordinating with other departments, completing reports, resolving discrepancies, executing audits, overseeing product rotation, etc.","Bonus opportunities, career advancement, relocation opportunities, 401(k) with company match, employee stock purchase plan, referral bonus program, corporate discount programs, medical/dental/vision/life insurance"
Warehouse Manager,Able to carry at minimum 50 lbs. Strong organizational and time management skills. Excel proficiency. Ability to drive a box truck. Clean driving record. Ability to pass random drug tests. High school diploma or equivalent preferred. 1 year of warehouse experience required. N/A,"Receiving, inspecting and delivering all shipments. Scheduling and coordinating part-time workers. Scheduling and coordinating deliveries with designers and customers.","$15 per hour. Health insurance, paid time off, 401k, employee discount, flexible schedule."
Warehouse Management Specialist,"Forklift operation, warehousing experience, ability to lift up to 50 lbs, flexibility in schedule High school diploma or equivalent preferred N/A N/A","Day-to-day tasks include loading and unloading trucks and railcars, staging product for orders, rotating product, lifting up to 50 lbs, forklift operation, inbound/outbound freight handling, warehouse operations, and being willing to cross-train in different areas.",Không
"Warehouse Manager - Lexington, KY","Prior warehouse management experience preferred; 2-5 years of previous material-handling experience; Forklift certification and experience driving a box truck preferred; Ability to lead a team and/or work one-on-one with our customers; Ability and willingness to lift boxes and specific building materials weighing as much as 100 lbs; Strong customer service skills; Ability to work successfully under the pressure of deadlines and to accept new ways of doing business; High integrity, high energy and a positive attitude; Ability to navigate technology to schedule deliveries and manage inventory N/A 2-5 years of previous material-handling experience preferred Prior warehouse management experience preferred; Forklift certification and experience driving a box truck preferred","Manages all warehouse operations including personnel; Handles all aspects of inventory management; Manages the loading and unloading of exterior building products such as siding, windows and gutter; Coordinates shipments to ensure deliveries are on time and accurate; Works alongside warehouse associates in loading/unloading trucks; Hires and manages warehouse personnel; Approves associates schedules to minimize overtime; Establishes bin locations; Oversees daily cycle counts for inventory accuracy; Verifies accuracy of orders picked and shipments received; Knows how to a forklift; Keeps warehouse clean and orderly","Medical, dental and vision coverage; Company paid life insurance and disability; Industry leading 401(k); Paid holidays; Paid vacation time; Health and wellness program; Generally no weekend work-normal hours Monday-Friday 7am - 5pm"
Warehouse Supervisor,Warehouse operations management. Shipping and receiving procedures. Inventory control and management. Leadership and team supervision. Supply chain logistics. Organization and multitasking. Communication skills. N/A N/A N/A,"Oversee supervision of the warehouse team and effective operation of packing, shipping, receiving, and inventory. Support the branch manager in safe, efficient and economic running of the warehouse. Oversee and participate in the preparation of items for shipping, receiving, storing, and inventory. Oversee and participate in incoming and outgoing shipping activities to ensure accuracy, completeness and condition of shipments, which includes lifting and carrying materials. Review records for accuracy and compliance with established procedures. Review shipping discrepancies as needed and work to rectify problems with relevant team members. Conduct inventory counts. Order warehouse supplies when needed. Develop and maintain an effective department, assist in the selection, training, motivation and review of team members. Perform other related duties as assigned.",Không
Bank Teller,"Retail/customer service experience, communication skills, math aptitude, computer/Microsoft Office skills. High school diploma or equivalent. N/A Prior banking/financial services experience.","This role involves providing excellent customer service, processing transactions accurately and efficiently, identifying customer needs and cross-selling products, adhering to policies and procedures.","Competitive compensation, health insurance, 401K with employer match, paid vacation/sick days, employee discounts on banking products and services, employee referral bonuses."
Bank Teller,No specific technical or soft skills mentioned. Ability to work weekday daytime shifts is required. N/A No prior experience necessary. Will train applicants. N/A,"Day-to-day tasks include working regular weekday shifts, such as 9am to 5pm or 8am to 4pm. No weekend hours required.","Pay is $12 per hour. Benefits include 401k with matching, dental insurance, health insurance, life insurance, vision insurance."
Bank Teller,"Previous cash handling experience, customer service experience, strong communication skills and basic computer skills N/A N/A N/A",The bank teller will process transactions accurately and efficiently in a fastpaced environment while introducing products and services that meet the customers needs,The bank teller can earn medical dental and vision coverage and so much more. Estimated salary to $15 per hour based on qualifications.
Seasonal Teller,"Basic math, computer, oral/written communication skills. Judgement, integrity, ability to handle confidential information. Quick and accurate working style, analytical thinking, decision making. Ability to operate standard office equipment. High school diploma or equivalent. Cash handling and customer service experience preferred. N/A","Provide teller services such as handling deposits/withdrawals, payments, greeting customers, maintaining accounts. Engage with customers to explore needs and recommend appropriate products/services. Make referrals to other business units when suitable.",Không
Bank Teller,Excellent interpersonal and communication skills N/A N/A N/A,"Handling routine financial transactions, balancing cash drawer, crossselling banking products, providing excellent customer service",Estimated salary to $XX per hour based on qualifications. Benefits like medical dental vision k and more.
Bank Teller,"Strong customer service skills, attention to detail, basic math and computer skills, ability to handle cash accurately. High school diploma or equivalent. No experience required. Previous banking experience, experience with banking software.","Handling customer transactions, answering questions, cashing checks, accepting deposits and loan payments, processing paperwork, maintaining accurate records.","Pay is $15 per hour. Benefits include 401k with 6% matching, dental and health insurance, life insurance, and vision insurance."
Sales Executive III Client Management,"Extensive experience as a sales executive in fintech or financial services, at least 5 years of experience interacting and partnering with senior management, understanding of investment banking operations technology and change landscape N/A At least 5 years N/A","Sell products and services, manage relationships, ensure alignment of client technology and business strategies, focus on account retention and continued revenue growth",Competitive salary and benefits
Sales Manager,"Proactive planning, organizational skills, pricing and revenue management knowledge. Ability to meet monthly revenue and sales goals. N/A N/A Experience in the hospitality industry.","Develop and foster hotel business through direct sales, marketing, telemarketing, direct mail, and tours of the hotel for both guest rooms and event space. Provide excellent customer service and follow through on details. Represent the hotel at industry events.","Competitive wages, comprehensive benefits package including medical, dental, vision, life insurance, disability, tuition assistance, discounted hotel rates, training and career development opportunities."
Workday Sales Director,"2+ years of experience selling Workday solutions or other ERP solutions within government. 2+ years of sales experience in a professional services organization. N/A 2+ years of experience selling Workday solutions or other ERP solutions within government. 2+ years of sales experience in a professional services organization. Proven ability to build, manage and foster a team-oriented environment. Proven ability to work creatively and analytically in a problem-solving environment. Desire to work in an information systems environment. Excellent communication (written and oral) and interpersonal skills. Excellent leadership and management skills.",Manage the opportunity from sales pursuit to close. Develop relationships with key buyers and decision makers. Protect and grow the business. Act as point of contact for resolution and escalation of all key items with the client and internally.,Không
Account Executive (Inside Sales),Strong negotiation skills with the ability to handle conflict. The ability to work with the latest technologies. College degree preferred but we have successful sales representatives without one. N/A Some sales experience.,Make calls to establish relationships and build your book of business from the ground up. Sell and close new and existing customers to move their freight. Negotiate price with shippers and carriers. Manage daily shipments resolving issues to ensure pickup and delivery is on time.,"Base salary with uncapped commission opportunity. Health, dental and vision coverage. 1 week paid training and mentoring program. Ability to work in office from one of our 100 offices nationwide."
Full Stack Web Developer,"html, css, javascript, bootstrap, tailwind, php, jquery, mysql, nodejs, reactjs, mongodb; can speak read and write in mandarin english; possesses experience in using cloud infrastructure platforms eg aws alibaba cloud azure etc; possesses experience in serverside setup maintenance familiar with linuxbash command bachelors degree in information systems software engineering computer science or equivalent minimum of 5 years working experience as a full stack web app developer having experience in react nativeswift mobile app development will be a bonus",work on development tasks assigned by the rd manager; work diligently with other web developers operation and creative team in developing web application; handling features development enhancement and maintaining inhouse virtual event application; assist in writing technical and functional documentation,high basic salary let us know how well you can perform; epf socso eis and annual leaves; maybe theres more lets find out during the interview
Web Developer (Front-End),"Experience developing web applications, proficiency in relevant programming languages and frameworks N/A N/A Experience with new technologies and ability to push boundaries","Designing and developing multitiered web applications that are high quality, scalable and reliable",Không
Front-End Engineer/UI Developer,"Deep familiarity with digital environment. 5+ years experience with frontend technologies like React, jQuery. Experience developing and testing modern JavaScript applications. Knowledge of XHTML, CSS, Git, Gulp/Webpack. Ability to translate designs into HTML. Experience with component driven architectures. Knowledge of web standards, responsive design, accessibility. N/A 5+ years Experience with Adobe Experience Manager, Node, GraphQL, TypeScript, SQL and NoSQL databases, AWS, Docker, Kubernetes. Experience managing build pipelines.",Design and build highly dynamic data-driven internet-based platforms. Lead front end development and testing of web and mobile applications. Perform code reviews and adhere to coding standards. Maintain focus on quality and meet delivery deadlines.,Không
Interns (Web Developers Mobile Developers Game Developers),"Proficiency in programming languages and frameworks for mobile and web development N/A N/A Passion for coding, previous internship experience","Programming, coding for mobile and web applications",Không
Supply Chain Analyst,"Construction experience, purchasing experience, business and computing skills, Microsoft Office, spreadsheet, word processing High school diploma 2 years purchasing experience Some college, 5 or more years purchasing experience in construction industry","Monitor schedule to stay ahead of construction, obtain plans, selections, scopes of work, estimates, competitors pricing, establish subcontractors, manage vendors and warranty requests, generate work orders and purchase orders, process option requests, maintain files and database, observe material utilization, process invoices, create feedback system, establish lead times, attend meetings, develop new processes, enhance PO system",Không
Supply Chain Analyst IV,"Proficiency in SAP, Microsoft Excel and Spotfire; compliance with company policy and industry regulations N/A Senior level, typically 5+ years of experience Understands advanced aspects of discipline and is viewed as an expert in a given field; applies broad range of competencies to develop solutions to complex problems; influences others to achieve objectives; often provides specialized/technical/functional guidance to others within department and/or business asset","Gathering and analyzing company spend supply market data and other related commercial information to drive value from supply chain activities and develop sourcing/negotiation strategies; building should-cost and total cost of ownership economic models for materials and services; providing analytical support for category sourcing initiatives contract negotiations and bid evaluations; monitoring and evaluating supply risks; supporting the supplier performance management process; developing tools and processes in SAP, Microsoft Excel and Spotfire to improve the efficiency of analytical work",Không
Supply Chain Analyst,"2+ years supply chain experience, knowledge of inventory management, mathematical and analytical skills, experience in chemical industry, Chempax experience a plus N/A 2+ years in supply chain Chempax experience","Analyze and assign lots to shipments/orders, analyze and reconcile discrepancies, save documents, work with accounting on order/invoicing issues, communicate with other departments, seek to improve supply chain processes, analyze reporting, assess vendor operations, backup purchasing/inventory roles, other duties as assigned",Không
"Analyst II, Supply Chain - Corporate - US (Open)","bachelors degree required business computer science or analytics degree preferred or relevant sysco experience in lieu of a degree; 2 years relevant professional experience; intermediate excel required access & powerpoint preferred; theoretical knowledge of statistics and quantitative analysis techniques (e.g., spreadsheet modeling, regression analysis) preferred; understanding of applications of mixed integer programming based modeling tools such as AIMMS, supply chain strategist, llamasoft, supply chain guru, or other tools strongly preferred bachelors degree required 2 years relevant professional experience business, computer science or analytics degree preferred or relevant sysco experience in lieu of a degree",serve as the business matter expert in the area of supply chain and will be responsible for managing multiple projects for supply chain modeling and analysis in the context of category management redistribution analytics steady state optimization transportation networks and other adhoc analysis requests,Không
Supply Chain Analyst - Senior,"completion of an undergraduate degree required preferably in STEM, supply chain or business; candidates having qualifications that exceed the minimum job requirements will receive consideration for higherlevel roles give their experience, additional job requirements and/or business needs depending on education, experience and skill level completion of an undergraduate degree required preferably in STEM, supply chain or business N/A N/A","facilitates and conducts analysis of supply chain data including company and industry trends in key categories and supplier groups to support supply chain teams; develops, enhances, tests and implements analytical reports to support supply chain processes and required metrics; utilizes various data sources to assemble, analyze and provide deep business insights from the data; takes ownership of reporting using internal data and industry trends and compiles research using third party data; identifies and proposes automations and efficiency improvements by leveraging technology that will address critical projects and business needs",Không
Supply Chain Analyst,"Proficiency in data analysis, strong analytical and problem solving skills, ability to work with large datasets, data visualization and presentation skills. N/A N/A N/A","Support the planning, strategic sourcing, procurement, and logistics processes through data analysis, insights, dashboards, metrics, and KPIs.",Không
"Commission Sales Associate - Men's, Full Time - Beverly Center","Excellent communication and interpersonal skills, proficiency with technology and ability to learn new systems, ability to read instructions and manuals, ability to work flexible hours including nights and weekends. High school diploma or equivalent. N/A Creative thinking, strategic mindset, talent for styling and passion for fashion.","Actively engage with customers to understand their needs, provide excellent customer service, drive sales both online and in-store, participate in merchandising and operations.","Competitive pay with bonus opportunities, health/dental/vision benefits, tuition coverage, pet insurance, employee discounts, 401k plan options."
"Commission Sales Associate - Men's, Full Time - Beverly Center","Excellent communication and interpersonal skills, ability to work flexible hours including nights and weekends, proficient with technology High school diploma or equivalent N/A Creative thinking, strategic skills, interest in fashion and styling","Build relationships and guide customers through the shopping experience, drive sales in-store and online, participate in merchandising and operations","Competitive pay, paid time off, tuition coverage, employee discount, bonus opportunities, benefits like dental/vision/pet insurance"
"Retail Commission Sales Associate - Fine Jewelry, Del Amo Fashion...","Retail and sales experience, knowledge of jewelry and watches N/A N/A N/A","Providing outstanding customer service in the jewelry & watch department, meeting hourly sales and rewards goals, demonstrating product knowledge",Không
"Retail Commission Sales Associate - Fine Jewelry, Northridge...","Proficiency with POS systems including search and send and my client, strong interpersonal and communication skills, ability to work flexible hours including evenings, weekends, and holidays High school diploma or equivalent 2 years related experience N/A","Meeting hourly sales and star reward goals, demonstrating product knowledge, building clientele, processing goods, merchandising, taking price changes, setting and signing sales, watch sizing, ear piercing, etc.","Pay range and benefits details available for CO, CT, and NV candidates via links provided in job description"
Kitchen prep / cleaning,"Able to lift up to lbs, able to work weekends and holidays when required, ServSafe certification and adhere to strict food hygiene standards N/A N/A N/A","Package and label pizzas, dishwashing, light prep, clean up kitchen at the end of the night",Không
Kitchen Cleaner,"capable of learning new skills quickly, able to use hand and mechanical tools to ensure safety and completion of tasks N/A N/A N/A","maintain business cleanliness and appearance, ensure safety regulations are met, coordinate and facilitate maintenance and repairs",$15/hour
Dishwasher/Kitchen Cleaner,"Familiarity with cleaning and sanitation regulations, knowledge of health codes, previous kitchen experience N/A Previous kitchen or restaurant experience required N/A","Washing dishes, cleaning the kitchen, maintaining sanitation and health codes",Không
Utility Cleaner - Kitchen ($19.77/hr),"Ability to lift up to 50 lbs, stand/sit/walk for extended periods, reach overhead and below knees including bending, twisting, pulling, and stooping N/A N/A N/A","Creating a safe workplace, following company policies and procedures, upholding quality standards, ensuring professional uniform/appearance/communications, adhering to quality expectations and standards, developing positive relationships with other employees, supporting team goals, listening and responding to employee concerns, reporting accidents/injuries/unsafe conditions, moving/lifting/carrying/pushing/pulling/placing objects up to 50 lbs, performing other reasonable duties as requested",Không
"Overnight Janitor - Los Angeles, California","Ability to communicate in English. Ability to work as part of a team. Knowledge of proper sanitation regulations and chemical handling. Physically able to stand, walk, lift up to 25 lbs, bend, stoop, squat, kneel, reach, grasp, and have adequate hearing and vision. High school education or equivalent preferred. Previous experience in the hospitality industry preferred. Ability to communicate in Spanish. Familiarity with hospitality industry.","Cleaning and disinfecting surfaces and areas in hotel rooms and common spaces, including toilets, counter tops, bathtubs, showers, furniture, floors, etc. Restocking room supplies and amenities. Changing linens and towels. Waste removal and proper disposal. Maintaining cleanliness of dining utensils, kitchen equipment and storage areas.",Không
Dishwasher,Ability to use kitchen chemicals properly. Ability to operate kitchen equipment safely. Ability to sort and handle dishware carefully. Ability to adhere to safety and sanitation policies and procedures. N/A N/A Previous maintenance experience at a hotel or restaurant.,"Cleaning, sanitizing and storing dishes, flatware, utensils and kitchenware. Assisting other kitchen staff. Maintaining cleanliness of kitchen area. Taking corrective actions when needed.",Không
Senior Software Developer - Up to 160k - 100% Remote,"Experience with web frameworks like Express, Ruby on Rails, Django, Flask, Spring MVC, etc., proficiency in modern development languages like JavaScript, Ruby, Python, Java, Go, experience with relational databases like Oracle, ability to implement complex multitiered solutions N/A N/A Openness to developing as a full stack engineer, strong problem-solving and time management skills","Develop product solutions and web services for SaaS applications, mentor and coach junior level developers, regularly participate in code reviews, demonstrate flexibility and thinking out of the box, suggest process improvements","Competitive salary, health/vision/dental, PTO, remote work opportunity"
Software Engineer (US-Remote),"Experience with Node.js, JavaScript/TypeScript. New grads welcome if relevant internship experience. N/A N/A Familiarity with React, GraphQL, Terraform, Docker, AWS, Serverless, ECS, Aurora.",Collaborate on projects like self-serve signup/billing and integrations pipeline. Implement customer features and integrations. Proactively fix issues.,Không
Software Developer,"Proficiency in PHP, familiarity with WordPress and/or Laravel, JavaScript/React/Node experience, conceptual understanding of web technologies, ability to learn new tech quickly, Unix command line experience, Git and version control skills, Agile/Scrum methodology, excellent written and verbal communication. N/A Not an entry-level position, professional experience required. N/A","Responsibilities include technical discovery, custom feature builds, custom architecture and development, and large-scale data migrations.","Base salaries starting at $80-90k based on experience and seniority, medical/dental/vision benefits, 401k with company match, profit sharing, monthly lunch allowance, unlimited vacation/sick time, remote work, home office or coworking space provided."
Software Developer,"Ability to work with modern frameworks like ReactJS or VueJS. Familiarity with version control systems like Git. Experience with test-driven development (TDD). N/A N/A Experience giving talks, blogging, or open source engagement. Self-motivated and interested in the community.","Designing, building and maintaining Rails and React applications. Work intensively with multiple teams like product, engineering, design, legal, data, and business.","Competitive salary, empowering team culture, experienced lead developers, open source work time."
